ranks,names,years,imdb_ratings,links
29,Dekalog ,1989,8.9,https://www.imdb.com/title/tt0092337/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_29
30,True Detective ,2014,8.9,https://www.imdb.com/title/tt2356777/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_30
31,Death Note ,2006,8.9,https://www.imdb.com/title/tt0877057/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_31
32,The Civil War ,1990,8.9,https://www.imdb.com/title/tt0098769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_32
33,Apocalypse: The Second World War ,2009,8.9,https://www.imdb.com/title/tt1508238/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_33
34,Fargo ,2014,8.9,https://www.imdb.com/title/tt2802850/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_34
35,Cowboy Bebop ,1998,8.9,https://www.imdb.com/title/tt0213338/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_35
36,Africa ,2013,8.9,https://www.imdb.com/title/tt2571774/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_36
37,When They See Us ,2019,8.9,https://www.imdb.com/title/tt7137906/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_37
38,Last Week Tonight with John Oliver ,2014,8.9,https://www.imdb.com/title/tt3530232/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=BQX10M7H89MWC6M3YSM3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_38
